Binomial	Order	Family	Intro	Est	Invas	DCInt	Sources	BM	GT	WA	NBM	LS	LY	AFB	RL	BV	Missing?	In Previous Analysis?
Canis_latrans	Carnivora	Canidae	1	1	1	1	Long (2003)	4.078786583	1.790566625	1.640580806	2.30105171	0.757396029	0	2.562292864	3.796504952	-4.55390098	0	1
Camelus_bactrianus	Artiodactyla	Camelidae	1	1	1	1	Long (2003)	5.743914011	2.59987216	2.566001211	4.535884258	0.1430148	0	3.164352856	4.111934276	-4.254949077	0	1
Capra_hircus	Artiodactyla	Bovidae	1	1	1	1	ISSG; Long (2003)	4.675654358	2.193124598	2.198767021	3.329623613	0.161368002	0	2.825529972	3.8337105	-3.995078502	0	1
Capra_ibex	Artiodactyla	Bovidae	1	1	1	1	DAISIE; Long (2003)	4.842277339	2.224014811	2.048247532	3.443899486	0.045322979	-0.124938737	2.960232873	3.852205423	-3.897528402	0	1
Callithrix_jacchus	Primates	Cebidae	1	1	1	0	Long (2003)	2.462712373	2.158362492	1.779884963	1.443106457	0.36361198	0.301029996	2.744371227	3.660381606	-4.023993585	0	1
Axis_axis	Artiodactyla	Cervidae	1	1	1	1	DAISIE; ISSG; Long (2003)	4.841984742	2.356962311	2.085147812	3.499255322	0.004321374	0.004321374	2.585146777	3.851458825	-3.855780199	0	1
Cervus_elaphus	Artiodactyla	Cervidae	1	1	1	1	DAISIE; ISSG; Long (2003)	5.381777538	2.372193719	2.019697731	3.916760216	0.037426498	-0.040958608	2.99725966	3.960103874	-3.997530372	0	1
Cervus_nippon	Artiodactyla	Cervidae	1	1	1	1	DAISIE; Long (2003)	4.724275788	2.349588321	2.296006669	3.63115042	0	0	3.039414119	3.906130239	-3.906130239	0	1
Erythrocebus_patas	Primates	Cercopithecidae	1	1	1	1	ISSG	3.901256657	2.223236273	2.32590545	2.79355991	0.004321374	-0.013228266	3.033339301	3.876460908	-3.880782282	0	1
Equus_caballus	Perissodactyla	Equidae	1	1	1	1	ISSG; Long (2003)	5.605949576	2.530161263	2.533721231	4.578639095	0	0	2.960232873	4.330565953	-4.330565953	0	1
Genetta_genetta	Carnivora	Viverridae	1	1	1	0	DAISIE; Long (2003)	3.244566554	1.870286829	1.856124444	1.890700398	0.359835482	0.301029996	3.170393269	4.031794174	-4.391629656	0	1
Bison_bison	Artiodactyla	Bovidae	1	1	1	1	DAISIE; Long (2003)	5.795586036	2.452047241	2.458365858	4.301029996	-0.008773924	0	3.039414119	4.032820149	-4.024046225	0	1
Eulemur_fulvus	Primates	Lemuridae	1	1	0	0	Long (2003)	3.376027355	2.082174775	2.129174103	1.875003354	0.041392685	0.301029996	2.987174501	4.0722168	-4.113609485	0	1
Bettongia_gaimardi	Diprotodontia	Potoroidae	1	1	0	0	Long (2003)	3.222078865	1.325104983	2.083932402	-0.522878745	0	0.311753861	2.434568904	3.599446376	-3.599446376	0	1
Bettongia_penicillata	Diprotodontia	Potoroidae	1	1	0	0	Long (2003)	3.073480064	1.308564414	2.176091259	-0.552841969	0	0.477121255	2.460822699	3.811511331	-3.811511331	0	1
Bubalus_bubalis	Artiodactyla	Bovidae	1	1	1	1	Long (2003)	5.968249847	2.505149978	2.380771843	4.574031268	0.176091259	0	2.781816083	3.980681134	-4.156772393	0	1
Chlorocebus_aethiops	Primates	Cercopithecidae	1	1	0	1	Long (2003)	3.567730788	2.233136018	2.337978108	2.528646788	0	0	3.238986474	3.984178387	-3.984178387	0	1
Capreolus_capreolus	Artiodactyla	Cervidae	1	1	0	1	DAISIE; Long (2003)	4.352221313	2.292256071	1.901730692	3.082264623	0.252853031	0.041392685	2.86332286	3.709269961	-3.962122992	0	1
Castor_canadensis	Rodentia	Castoridae	1	1	1	1	DAISIE; ISSG; Long (2003)	4.258263878	2.047625278	1.667452953	2.618225964	0.556302501	0	2.817853454	3.796197044	-4.352499545	0	1
Dasyprocta_punctata	Rodentia	Dasyproctidae	1	1	0	0	Long (2003)	3.363446503	2.032014034	2.146128036	1.356025857	0.096910013	0.271841607	2.687519685	3.493180572	-3.590090585	0	1
