Body Brain r1 r2
57.4077 16.6637 Eoglobigerina_edita 'NODE-N1-N3'
86.6211 28.7048 Eoglobigerina_spiralis T11
74.5785 23.9743 Subbotina_trivialis 'N4-T12A'
68.2891 20.7111 Subbotina_gortanii T7
34.0683 6.2794 Protentella_prolixa 'N5-N6-N8-T9C'
36.9619 8.2665 Globigerinella_obesa 'N13-T14A'
45.0483 12.1271 Beella_praedigitata T16
55.0671 15.3277 Beella_digitata 'NODE-N15-N17'
58.1627 16.8074 Globigerinella_calida T20
77.5496 22.5475 Globigerina_eamesi 'N18-T19A'
86.8775 27.0658 Globigerina_druryi 'N21-T24A'
30.2286 5.2887 Globigerina_praebulloides T22
84.1168 26.8978 Globigerina_umbilicata T258
41.9562 9.4496 Globigerina_bulloides T260
81.9007 26.1827 Globigerina_falconensis 'N259-N261-N262-T263C'
81.2518 25.7897 Globigerinoides_primordius T268
48.7208 12.6233 Globigerina_angulisuturalis T270
85.9476 27.9855 Globigerina_ciperoensis 'N271-T272A'
92.6907 29.6261 Globigerina_officinalis 'N77-T266A'
35.7988 8.3163 Subbotina_hagni T282
40.6123 10.4826 Subbotina_corpulenta 'N279-T280A'
66.4352 20.2093 Subbotina_eocaena T367
69.4945 21.2111 Subbotina_jacksonensis 'N292-T299A'
28.2311 5.5482 Subbotina_patagonica 'N301-T303A'
74.9631 23.2709 Subbotina_linaperta 'N366-N298-N300-T304C'
71.2173 22.0631 Subbotina_utilisindex 'N264-N265-N276-N278-N281-N283-T284F'
79.2565 25.4029 Subbotina_angiporoides T287
45.0577 12.9045 Subbotina_hornibrooki 'N285-N286-T288B'
70.9312 22.1514 Globoturborotalita_gnaucki 'N291-T372A'
65.6269 21.6652 Globoturborotalita_anguliofficinalis T373
47.9101 13.3038 Globoturborotalita_ouachitaensis 'N310-T313A'
86.5119 29.0677 Orbulina_suturalis T359
45.1238 13.5478 Orbulina_universa 'N308-T309A'
68.9231 21.2455 Praeorbulina_circularis T317
86.6286 28.0790 Praeorbulina_glomerosa T321
60.7202 18.2641 Praeorbulina_curva 'N319-T320A'
67.3102 21.4467 Globigerinoides_bisphericus 'N345-T347A'
77.9606 24.7266 Globigerinoides_fistulosus T343
54.0581 15.3773 Globigerinoides_sacculifer T338
81.2085 26.6074 Sphaeroidinella_dehiscens T340
53.7693 15.9683 Globigerinoides_parawoodi 'N337-N339-T341B'
38.8182 9.6706 Globigerinoides_altiapertura T333
76.6365 24.6117 Globigerinoides_conglobatus 'N326-N332-N334-T360C'
73.4148 21.8247 Globigerinoides_extremus T335
29.8146 6.6350 Globigerinoides_subquadratus T328
81.2071 26.4861 Globigerinoides_seigliei T331
54.5360 16.5329 Globigerinoides_ruber 'N327-N329-T330B'
33.0198 8.2148 Globigerinoides_diminutus 'N182-T183A'
50.2873 15.9605 Globigerinoides_mitra 'N184-N186-N187-N188-T189D'
55.2073 16.8198 Turborotalita_cristata T196
46.9453 13.9793 Turborotalita_humilis 'N193-N195-T197B'
52.1223 15.0053 Subbotina_triloculinoides T202
86.8143 28.9462 Hedbergella_monmouthensis T204
60.3028 18.4615 Praemurica_taurica T297
73.9336 24.2193 Morozovella_praeangulata T209
42.5012 11.2077 Acarinina_echinata 'N207-T208A'
57.8581 18.6041 Acarinina_soldadoensis T211
26.3548 5.0654 Acarinina_aspensis 'N206-N210-N212-T213C'
29.3471 5.8902 Acarinina_pentacamerata T214
83.0237 25.8281 Acarinina_medizzai T216
39.1644 9.1939 Acarinina_collactea T222
50.5361 14.4522 Acarinina_interposita T226
55.4156 16.5706 Acarinina_angulosa 'N223-N225-N227-T228C'
56.1426 16.9487 Acarinina_africana T230
77.5570 25.5843 Acarinina_sibaiyaensis 'N358-T229A'
85.6352 27.7884 Acarinina_esnehensis T234
61.6687 18.8877 Acarinina_subsphaerica 'N232-T233A'
67.0034 21.4782 Acarinina_nitida 'N215-N217-N231-N235-T236D'
28.9498 5.4940 Acarinina_quetra 'N237-T238A'
82.0395 27.4632 Acarinina_topilensis 'N253-T254A'
