Name	Brain	Body
Chrysochloris_asiatica	-0.15	1.69019608
Chrysochloris_stuhlmanni	0.02	1.699404082
Echinops_telfairi	-0.21	1.942008053
Hemicentetes_semispinosus	-0.08	2.041392685
Limnogale_mergulus	0.06	1.963787827
Microgale_cowani	-0.38	1.181843588
Microgale_dobsoni	-0.25	1.5132176
Microgale_talazaci	-0.1	1.702430536
Oryzorictes_hova	-0.24	1.645422269
Potamogale_velox	0.61	2.812913357
Setifer_setosus	0.18	2.394451681
Tenrec_ecaudatus	0.45	2.957607287
Aepyceros_melampus	2.24	4.760497875
Alces_alces	2.64	5.301029996
Axis_axis	2.34	4.946697837
Boselaphus_tragocamelus	2.43	5.096910013
Cervus_elaphus	2.61	5.301029996
Connochaetes_taurinus	2.65	5.326806774
Damaliscus_pygargus	2.41	4.795880017
Giraffa_camelopardalis	2.85	6.082426301
Hippopotamus_amphibius	2.86	6.130655349
Kobus_ellipsiprymnus	2.46	5.274619619
Madoqua_kirkii	1.57	3.6599162
Moschiola_meminna	1.23	3.300378065
Odocoileus_virginianus	2.32	4.813514272
Phacochoerus_aethiopicus	2.1	4.815046176
Rangifer_tarandus	2.44	4.855519156
Sus_scrofa	2.23	4.938383248
Syncerus_caffer	2.81	5.823108903
Tayassu_pecari	2.16	4.508305219
Tragelaphus_eurycerus	2.59	5.403120521
Tragelaphus_scriptus	2.22	4.645667842
Tragulus_napu	1.27	3.399673721
Ailurus_fulgens	1.67	3.747411808
Arctocephalus_australis	2.49	5.015988105
Arctocephalus_forsteri	2.51	5.040167036
Arctocephalus_galapagoensis	2.46	4.662285516
Arctocephalus_gazella	2.53	4.984977126
Arctocephalus_philippii	2.62	5.146128036
Arctocephalus_pusillus	2.57	5.25224605
Arctocephalus_tropicalis	2.51	5.005395032
Bassariscus_sumichrasti	1.62	3.434888121
Callorhinus_ursinus	2.52	5.178737204
Canis_mesomelas	1.74	3.903089987
Crocuta_crocuta	2.24	4.794975744
Cystophora_cristata	2.66	5.451540829
Erignathus_barbatus	2.66	5.44870632
Eumetopias_jubatus	2.82	5.808734108
Genetta_tigrina	1.19	3.183269844
Halichoerus_grypus	2.49	5.28780173
Helarctos_malayanus	2.59	4.653405491
Hydrurga_leptonyx	2.85	5.538448052
Ichneumia_albicauda	1.45	3.643452676
Leopardus_pardalis	1.8	3.978887781
Leptailurus_serval	1.73	4.054613055
Leptonychotes_weddellii	2.75	5.578257077
Lynx_canadensis	1.84	4.175192788
Lynx_rufus	1.81	3.802773725
Melursus_ursinus	2.43	5.133794301
Mephitis_mephitis	1.01	3.29666519
Mirounga_leonina	3.08	6.302439164
Monachus_monachus	2.68	5.447932866
Monachus_schauinslandi	2.57	5.238046103
Mustela_erminea	0.66	2.194329299
Mustela_putorius	0.9	2.961421094
Nasua_narica	1.65	3.795880017
Nasua_nasua	1.57	3.503450193
Neophoca_cinerea	2.59	5.277093255
Odobenus_rosmarus	3.15	6.009546498
Ommatophoca_rossii	2.69	5.253822439
Otocyon_megalotis	1.42	3.523095838
Panthera_leo	2.41	4.924279286
Panthera_pardus	2.13	4.681241237
Panthera_tigris	2.43	5.290034611
Paradoxurus_hermaphroditus	1.41	3.44302817
Phoca_largha	2.4	4.961421094
Phoca_vitulina	2.5	4.867084291
Phocarctos_hookeri	2.6	5.436957331
Potos_flavus	1.52	3.350538743
Procyon_lotor	1.61	3.696851278
Puma_concolor	2.19	4.735854292
Urocyon_cinereoargenteus	1.57	3.57391544
Ursus_americanus	2.39	4.41480628
Ursus_arctos	2.53	5.117346434
Ursus_maritimus	2.71	5.501059262
Vulpes_vulpes	1.7	3.570858726
Zalophus_californianus	2.61	4.959041392
Artibeus_jamaicensis	-0.03	1.574031268
Artibeus_lituratus	0.02	1.768638101
Carollia_perspicillata	-0.33	1.204119983
Casinycteris_argynnis	-0.04	1.607455023
Cynopterus_brachyotis	-0.06	1.462397998
Desmodus_rotundus	-0.05	1.462397998
Diaemus_youngi	-0.01	1.539076099
Eonycteris_spelaea	0.07	1.698970004
Glossophaga_soricina	-0.41	1.049218023
Hipposideros_bicolor	-0.62	0.924279286
Hipposideros_caffer	-0.49	1.029383778
Hypsignathus_monstrosus	0.53	2.531478917
Leptonycteris_curasoae	-0.26	1.389166084
Mimon_crenulatum	-0.47	1.170261715
Molossus_molossus	-0.59	1.113943352
Mormoops_megalophylla	-0.38	1.193124598
Mormopterus_jugularis	-0.66	1.06069784
Myotis_dasycneme	-0.51	1.176091259
Myotis_myotis	-0.32	1.397940009
Myotis_mystacinus	-0.8	0.602059991
Myotis_nattereri	-0.66	0.84509804
Myotis_nigricans	-0.92	0.653212514
Noctilio_albiventris	-0.26	1.58546073
Noctilio_leporinus	0.1	1.767155866
Nycteris_arge	-0.44	1.025305865
Phyllostomus_discolor	-0.05	1.51851394
Platyrrhinus_helleri	-0.38	1.064457989
Pteronotus_davyi	-0.51	1.025305865
Pteropus_lylei	0.79	2.497324641
Pteropus_rufus	0.86	2.573865791
Rhinolophus_hipposideros	-0.63	0.854306042
Rhynchonycteris_naso	-0.96	0.633468456
Saccopteryx_bilineata	-0.66	0.903089987
Sturnira_lilium	-0.28	1.23299611
Uroderma_bilobatum	-0.28	1.214843848
Antechinus_bellus	-0.19	1.660865478
Antechinus_flavipes	-0.18	1.487138375
Antechinus_leo	-0.11	1.779596491
Antechinus_minimus	-0.12	1.559906625
Antechinus_stuartii	-0.1	1.474216264
Antechinus_swainsonii	0.05	1.802773725
Dasyurus_hallucatus	0.54	2.710117365
Murexia_longicaudata	0.24	2.472024698
Myrmecobius_fasciatus	0.64	2.607883744
Parantechinus_apicalis	0.09	1.781755375
Phascogale_calura	-0.03	1.641474111
Planigale_gilesi	-0.75	0.785329835
Sminthopsis_crassicaudata	-0.43	1.123851641
Sminthopsis_griseoventer	-0.29	1.29666519
Sminthopsis_macroura	-0.38	1.230448921
Caluromys_derbianus	0.55	2.460897843
Caluromys_lanatus	0.49	2.584331224
Caluromys_philander	0.56	2.442479769
Didelphis_marsupialis	0.78	3.18610838
Didelphis_virginiana	0.84	3.446692466
Marmosa_mexicana	0.02	1.669316881
Marmosa_murina	0.06	1.77815125
Marmosa_robinsoni	-0.14	1.703291378
Marmosa_rubra	0.09	1.77815125
Metachirus_nudicaudatus	0.56	2.591064607
Monodelphis_brevicaudata	-0.03	1.810232518
Philander_opossum	0.6	2.755874856
Thylamys_elegans	-0.13	1.303196057
Bettongia_gaimardi	1.08	3.104828404
Bettongia_penicillata	1	2.991669007
Cercartetus_concinnus	-0.51	0.977723605
Cercartetus_lepidus	-0.43	0.892094603
Dactylopsila_trivirgata	0.78	2.704150517
Dendrolagus_dorianus	1.52	3.897462138
Dendrolagus_inustus	1.49	4.005137596
Distoechurus_pennatus	-0.01	1.657055853
Dorcopsis_luctuosa	1.33	3.868761958
Gymnobelideus_leadbeateri	0.47	1.956648579
Lagorchestes_conspicillatus	1.16	3.30427505
Macropus_antilopinus	1.77	4.495350041
Macropus_eugenii	1.39	3.645913275
Macropus_parma	1.24	3.575187845
Macropus_parryi	1.63	4.181672122
Macropus_robustus	1.79	4.550717423
Macropus_rufogriseus	1.58	4.088401902
Onychogalea_fraenata	1.13	3.15624619
Petauroides_volans	0.69	2.954242509
Petrogale_concinna	1.06	3.148294097
Petrogale_penicillata	1.39	3.777426822
Petrogale_persephone	1.35	3.758306182
Phalanger_carmelitae	0.94	3.244029589
Phalanger_orientalis	0.93	3.223755454
Phalanger_ornatus	0.86	3.160768562
Phalanger_vestitus	0.99	3.223236273
Pseudocheirus_peregrinus	0.76	2.880241776
Spilocuscus_maculatus	1.14	3.495127881
Thylogale_billardierii	1.36	3.558468563
Thylogale_thetis	1.3	3.567496891
Trichosurus_vulpecula	1.06	3.245759356
Vombatus_ursinus	1.79	4.434441152
Wallabia_bicolor	1.51	4.214843848
Atelerix_albiventris	0.35	2.447158031
Atelerix_algirus	0.51	2.897627091
Blarina_brevicauda	-0.54	1.247973266
Condylura_cristata	0.14	1.698970004
Crocidura_fuscomurina	-0.89	0.748188027
Crocidura_russula	-0.72	1.01911629
Cryptotis_parva	-0.92	0.72427587
Desmana_moschata	0.6	2.643452676
Erinaceus_europaeus	0.56	2.857595625
Galemys_pyrenaicus	0.12	1.759667845
Hemiechinus_auritus	0.28	2.397940009
Neomys_fodiens	-0.52	1.213517757
Neurotrichus_gibbsii	-0.04	1
Notiosorex_crawfordi	-0.82	0.77815125
Scalopus_aquaticus	0.17	1.597695186
Scapanus_townsendii	0.31	1.84509804
